game_title ,editorial_rating , user_rating , game_price ,game_price_cents, editor  , type ,device ,
Max Payne 3 sur PC,18,15.3,4,99,RockstarGames,+18ans,PC,
The Elder Scrolls IV : Oblivion sur PC,18,17.5,13,49,2KGames,Fantastique,PC,
Icewind Dale sur PC,18,16.6,4,58,Interplay,+12ans,PC,
Valkyria Chronicles sur PC,18,17.5,9,47,Sega,Steampunk,PC,
EVE Online sur PC,18,17,5,0,CCP,Sandbox,PC,
Indiana Jones and the Fate of Atlantis sur PC,18,18.8,5,99,LucasArts,Disquette,PC,
Homeworld sur PC,18,18.1,23,90,Sierra,+12ans,PC,
Castlevania : Lords of Shadow sur PC,18,14.4,6,25,Konami,Jouableensolo,PC,
NBA 2K9 sur PC,18,17.2,15,0,VisualConcepts,+3ans,PC,
Half-Life sur PC,18,18.6,59,90,Valve,+16ans,PC,
Runaway sur PC,18,16.1,8,0,PenduloStudios,Point'nClick,PC,
Counter-Strike : Source sur PC,18,17.7,39,90,VivendiUniversalGames,+16ans,PC,
Shovel Knight sur PC,18,16.7,19,90,YachtClubGames,+3ans,PC,
TOCA 2 Touring Cars sur PC,18,17.7,39,99,Codemasters,Oui,PC,
Runaway : A Twist of Fate sur PC,18,15.7,5,47,Focus,Point'nClick,PC,
No One Lives Forever 2 sur PC,18,17.4,10,50,Sierra,+16ans,PC,
Assassin's Creed III sur PC,18,15.1,9,99,UbisoftMontreal,Historique,PC,
Trine 2 sur PC,18,17.7,6,23,FocusHomeInteractive,Plate-Forme,PC,
FIFA 13 sur PC,18,13.3,9,90,EASports,Football,PC,
Tomb Raider sur PC,18,17.9,4,39,CoreDesign,+3ans,PC,
Assassin's Creed sur PC,18,16.5,8,99,UbisoftMontreal,Infiltration,PC,
Street Fighter IV sur PC,18,16,18,0,Capcom,Multienligne,PC,
FIFA 2000 sur PC,18,15.4,7,99,ElectronicArts,Oui,PC,
Unreal Tournament 2004 sur PC,18,18.4,34,42,EpicGames,+16ans,PC,
Divinity II : The Dragon Knight Saga sur PC,18,16.6,24,50,LarianStudios,+12ans,PC,
Midtown Madness sur PC,18,17.2,34,0,Microsoft,Oui,PC,
Legacy of Kain : Soul Reaver sur PC,18,17.2,25,0,CrystalDynamics,+16ans,PC,
Rally Masters sur PC,18,17.1,23,0,Infogrames,CD,PC,
Grand Prix 3 sur PC,18,15.9,9,99,HasbroInteractive,Simulation,PC,
Dark Souls sur PC,18,15.1,199,99,BandaiNamco,HeroicFantasy,PC,
Grand Theft Auto : San Andreas sur PC,18,18.4,8,99,RockstarGames,Contemporain,PC,
Monkey Island 2 : LeChuck's Revenge : Special Edition sur PC,18,16,8,99,LucasArts,+3ans,PC,
Football Manager 2007 sur PC,18,18.2,14,27,SportsInteractive,+3ans,PC,
Battlefield 2 sur PC,18,17.8,23,99,ElectronicArts,+16ans,PC,
Rise of the Tomb Raider sur PC,18,15.3,27,99,CrystalDynamics,Contemporain,PC,
