game_title ,editorial_rating , user_rating , game_price ,game_price_cents, editor  , type ,device ,
Call of Duty : Black Ops III sur PS4,18,11.9,19,99,Treyarch,Futuriste,PS4,
Life is Strange - Episode 2 - Out of Time sur PS4,18,18.1,no information,,DONTNODEntertainment,Point'nClick,PS4,
God of War III Remastered sur PS4,18,16.1,19,0,Sony,Beat'emAll,PS4,
NBA 2K16 sur PS4,18,15,12,2,2KSports,Basket,PS4,
Life is Strange - Episode 3 - Chaos Theory sur PS4,18,17,no information,,SquareEnix,Fantastique,PS4,
XCOM 2 sur PS4,18,15.2,13,85,Firaxis,Science-Fiction,PS4,
Uncharted : The Nathan Drake Collection sur PS4,18,17.2,21,85,Sony,07Octobre2015,PS4,
Dishonored 2 sur PS4,18,16.6,9,49,BethesdaSoftworks,Infiltration,PS4,
Horizon : Zero Dawn sur PS4,18,18,24,76,SonyComputerEntertainment,Infiltration,PS4,
World of Final Fantasy sur PS4,18,17.3,23,90,SquareEnix,+16ans,PS4,
The Witcher 3 : Wild Hunt - Hearts of Stone sur PS4,18,18.4,67,95,CDProjekt,Jouableensolo,PS4,
Odin Sphere : Leifthrasir sur PS4,18,16.7,34,90,noinformation,noinformation,PS4,
Life is Strange - Episode 5 - Polarized sur PS4,18,16.8,no information,,SquareEnix,Point'nClick,PS4,
Yakuza Kiwami sur PS4,18,15.9,24,90,YakuzaStudio,Jouableensolo,PS4,
Hatsune Miku Project Diva Future Tone sur PS4,18,18,no information,,Sega,23Juin2016,PS4,
Valkyria Chronicles Remastered sur PS4,18,14.4,19,99,noinformation,noinformation,PS4,
Full Throttle Remastered sur PS4,18,14.3,no information,,noinformation,noinformation,PS4,
Hatsune Miku Project Diva Future Tone : Future Sound sur PS4,18,18,no information,,Sega,23Juin2016,PS4,
Hatsune Miku Project Diva Future Tone : Colorful Tone sur PS4,18,18,no information,,Sega,23Juin2016,PS4,
Final Fantasy XII : The Zodiac Age sur PS4,18,17.1,17,90,SquareEnix,+12ans,PS4,
Shadow Tactics : Blades of the Shogun sur PS4,18,18,14,99,DaedalicEntertainment,Tactique,PS4,
Assassin's Creed Origins sur PS4,18,16.8,35,90,UbisoftMontreal,Infiltration,PS4,
Hatsune Miku Project Diva Future Tone DX sur PS4,18,19.7,no information,,Sega,22Novembre2017,PS4,
Spider-Man sur PS4,17,17.7,54,99,SonyInteractiveEntertainment,Super-Héros,PS4,
Pro Evolution Soccer 2019 sur PS4,17,16.4,42,49,KonamiDigitalEntertainment,Jouableensolo,PS4,
NBA 2K19 sur PS4,17,12.1,43,60,VisualConcepts,Basket,PS4,
F1 2018 sur PS4,17,17.8,52,99,Codemasters,Formule1,PS4,
Detroit : Become Human sur PS4,17,18,52,89,QuanticDream,Futuriste,PS4,
Overcooked 2 sur PS4,17,16.5,29,90,Team17,Adresse,PS4,
Astro Bot Rescue Mission sur PS4,17,18.2,38,24,Sony,Plate-Forme,PS4,
The Elder Scrolls Online : Summerset sur PS4,17,12.3,24,99,BethesdaSoftworks,MMORPG,PS4,
Sonic Mania Plus sur PS4,17,16.3,24,99,Sega,19Juillet2018,PS4,
Mortal Kombat X sur PS4,17,16,19,99,WarnerBrosGames,Fantastique,PS4,
Dragon Quest Heroes : Le Crépuscule de l’Arbre du Monde sur PS4,17,15.9,22,30,OMEGAForce,16Octobre2015,PS4,
Tekken 7 sur PS4,17,14.2,27,80,BandaiNamco,Jouableensolo,PS4,
Final Fantasy IX sur PS4,17,6.1,no information,,SquareEnix,Jouableensolo,PS4,
Pillars of Eternity sur PS4,17,18.3,29,99,ParadoxInteractive,HeroicFantasy,PS4,
Warframe sur PS4,17,16.1,no information,,DigitalExtremes,+16ans,PS4,
Final Fantasy XIV : Heavensward sur PS4,17,18,17,90,SquareEnix,HeroicFantasy,PS4,
NBA 2K15 sur PS4,17,16.7,9,90,2KSports,Basket,PS4,
Assassin's Creed Unity sur PS4,17,14.7,16,80,UbisoftMontreal,+18ans,PS4,
Titanfall 2 sur PS4,17,17.1,9,90,RespawnEntertainment,Science-Fiction,PS4,
Hitman sur PS4,17,11.5,27,95,SquareEnix,Infiltration,PS4,
Firewatch sur PS4,17,14.5,no information,,CampoSanto,Siteofficiel,PS4,
The Swapper sur PS4,17,15.3,62,13,FacepalmGames,Plate-Forme,PS4,
Hotline Miami 2 : Wrong Number sur PS4,17,15.5,no information,,DevolverDigital,Contemporain,PS4,
Tom Clancy's The Division sur PS4,17,15.3,15,99,MassiveEntertainment,Post-apocalyptique,PS4,
Watch Dogs 2 sur PS4,17,15.7,21,17,Ubisoft,Contemporain,PS4,
The Talos Principle sur PS4,17,16.3,44,90,DevolverDigital,Réflexion,PS4,
Octodad : Dadliest Catch sur PS4,17,15.1,no information,,YoungHorses,Animaux,PS4,
EA Sports UFC sur PS4,17,14.3,15,35,EAFightingTeam,Artsmartiaux,PS4,
Cities Skylines sur PS4,17,15.4,28,95,ParadoxInteractive,Siteofficiel,PS4,
Trials Fusion sur PS4,17,15.9,20,80,UbisoftKiev,RedLynx,PS4,
No Man's Sky sur PS4,17,13.6,22,99,HelloGames,Payantàl'acquisition,PS4,
Tales from the Borderlands sur PS4,17,17.1,no information,,TelltaleGames,Extraterrestres,PS4,
Salt and Sanctuary sur PS4,17,15.4,no information,,SkaStudios,PlayStationStore,PS4,
Resident Evil HD Remaster sur PS4,17,18.1,no information,,Capcom,Zombies,PS4,
Overwatch sur PS4,17,15.8,27,28,BlizzardEntertainment,Cyberpunk,PS4,
The Binding of Isaac : Rebirth sur PS4,17,15,19,99,Nicalis,Monstres,PS4,
Resident Evil 6 sur PS4,17,11.3,18,89,Capcom,Contemporain,PS4,
The Walking Dead : Episode 2 - Starved for Help sur PS4,17,8,no information,,TelltaleGames,Post-apocalyptique,PS4,
Persona 5 sur PS4,17,18.7,41,90,Atlus,04Avril2017,PS4,
Gravity Rush 2 sur PS4,17,16.5,22,90,Sony,GravityDaze2,PS4,
Hellblade : Senua's Sacrifice sur PS4,17,16.2,no information,,NinjaTheory,+18ans,PS4,
Ultimate Marvel vs. Capcom 3 sur PS4,17,14.5,no information,,Capcom,Multienligne,PS4,
Destiny 2 sur PS4,17,13.4,8,79,Bungie,Science-Fiction,PS4,
The Walking Dead : Saison 2 : Episode 2 - A House Divided sur PS4,17,19,no information,,TelltaleGames,Post-apocalyptique,PS4,
Battlefield 1 sur PS4,17,12.4,18,0,Dice,1èreGuerreMondiale,PS4,
Tom Clancy's Rainbow Six Siege sur PS4,17,16.3,14,40,Ubisoft,+18ans,PS4,
NBA 2K14 sur PS4,17,16.7,8,99,2KSports,Basket,PS4,
Rayman Legends sur PS4,17,16.7,16,99,UbisoftMontpellier,Plate-Forme,PS4,
Minecraft sur PS4,17,13.7,19,69,Mojang,OpenWorld,PS4,
Ratchet & Clank sur PS4,17,16.6,15,59,Sony,Plate-Forme,PS4,
Rime sur PS4,17,16.7,29,54,SixFoot,26Mai2017,PS4,
Axiom Verge sur PS4,17,16.2,14,33,ThomasHapp,Payantàl'acquisition,PS4,
Batman Arkham Knight sur PS4,17,17.3,14,24,Rocksteady,Animation,PS4,
Spelunky sur PS4,17,14.5,no information,,Mossmouth,+7ans,PS4,
TowerFall Ascension sur PS4,17,14.2,no information,,MattMakesGames,Tiràl'arc,PS4,
Darksiders II : Deathinitive Edition sur PS4,17,15.8,16,8,NordicGames,HeroicFantasy,PS4,
Dragon Age Inquisition sur PS4,17,16.5,10,49,BioWare,HeroicFantasy,PS4,
L.A. Noire sur PS4,17,14.9,26,99,TeamBondi,+18ans,PS4,
Oddworld : New 'n' Tasty ! sur PS4,17,15.8,no information,,JustAddWaterDevelopments,Plate-Forme,PS4,
Naruto Shippuden Ultimate Ninja Storm 4 sur PS4,17,15.5,19,99,05Février2016,Blu-Ray,PS4,
Magnetic : Cage Closed sur PS4,17,17,no information,,GuruGames,Puzzle-Game,PS4,
Deus Ex : Mankind Divided sur PS4,17,14.1,7,99,EidosMontréal,Cyberpunk,PS4,
Lego Dimensions sur PS4,17,12.5,no information,,Traveller'sTales,Kids,PS4,
Nobunaga’s Ambition : Sphere of Influence sur PS4,17,16,14,78,TecmoKoei,Blu-Ray,PS4,
Yesterday Origins sur PS4,17,18,9,18,Microïds,Point'nClick,PS4,
Yu-Gi-Oh! Legacy of the Duelist sur PS4,17,13.6,no information,,Konami,PlayStationStore,PS4,
Plants vs Zombies : Garden Warfare 2 sur PS4,17,16.6,18,91,PopCapGames,25Février2016,PS4,
Ghost Recon Wildlands sur PS4,17,15.1,19,20,Ubisoft,+18ans,PS4,
South Park : L'Annale du Destin sur PS4,17,15.9,18,99,Ubisoft,Animation,PS4,
Dragon Quest Builders sur PS4,17,17.5,23,99,SquareEnix,Création,PS4,
This War Of Mine: The Little Ones sur PS4,17,15.8,19,99,DeepSilver,Survival-Horror,PS4,
Bloodborne : The Old Hunters sur PS4,17,16.5,no information,,FromSoftware,Fantastique,PS4,
Styx : Shards of Darkness sur PS4,17,15.6,10,99,FocusHomeInteractive,Infiltration,PS4,
Furi sur PS4,17,15.9,no information,,TheGameBakers,Shoot'emUp,PS4,
EA Sports UFC 2 sur PS4,17,12.6,21,46,EASports,Payantàl'acquisition,PS4,
Rez Infinite sur PS4,17,15,no information,,Monstars,Shoot'emUp,PS4,
Madden NFL 17 sur PS4,17,14.9,18,80,noinformation,noinformation,PS4,
NBA 2K17 sur PS4,17,15.2,9,68,2KSports,Basket,PS4,
Pyre sur PS4,17,no information,no information,,noinformation,noinformation,PS4,
Ruiner sur PS4,17,17,no information,,DevolverDigital,Shooter,PS4,
Wonder Boy : The Dragon's Trap sur PS4,17,18.4,23,67,18Avril2017,Jouableensolo,PS4,
Injustice 2 sur PS4,17,15.9,18,99,NetherRealmStudios,Super-Héros,PS4,
Bioshock : The Collection sur PS4,17,17.3,35,95,FeralInteractive,IrrationalGames,PS4,
Sonic Mania sur PS4,17,17.2,no information,,noinformation,noinformation,PS4,
The Elder Scrolls V : Skyrim : Special Edition sur PS4,17,16.7,32,70,28Octobre2016,+18ans,PS4,
Crash Bandicoot N. Sane Trilogy sur PS4,17,16.6,34,3,Activision,Plate-Forme,PS4,
Wipeout Omega Collection sur PS4,17,17.5,24,90,EPOSGameStudios,SIEE,PS4,
LocoRoco Remastered sur PS4,17,16.5,no information,,noinformation,noinformation,PS4,
NBA 2K18 sur PS4,17,9.8,19,99,VisualConcepts,Basket,PS4,
Dark Souls III : The Ringed City sur PS4,17,17.1,no information,,FromSoftware,DungeonRPG,PS4,
The Sexy Brutale sur PS4,17,17,19,90,CavalierGameStudios,Réflexion,PS4,
The Elder Scrolls Online : Morrowind sur PS4,17,18.3,12,99,noinformation,noinformation,PS4,
Blood Bowl II : Legendary Edition sur PS4,17,17,no information,,FocusHomeInteractive,Footballaméricain,PS4,
A King's Tale : Final Fantasy XV sur PS4,17,14.2,no information,,noinformation,noinformation,PS4,
Madden NFL 18 sur PS4,17,17.5,40,49,noinformation,noinformation,PS4,
Sine Mora Ex sur PS4,17,14,17,99,THQNordic,Payantàl'acquisition,PS4,
Call of Duty : WWII sur PS4,17,13,28,99,SledgehammerGames,Historique,PS4,
Dishonored : La Mort de l'Outsider sur PS4,17,15.3,13,99,BethesdaSoftworks,Infiltration,PS4,
Wolfenstein II : The New Colossus sur PS4,17,14.8,11,90,MachineGames,+18ans,PS4,
XCOM 2 - War of the Chosen sur PS4,17,13.5,no information,,Firaxis,Extraterrestres,PS4,
Shadow of the Tomb Raider sur PS4,16,16.2,36,76,noinformation,noinformation,PS4,
Dragon Quest XI : Les Combattants de la destinée sur PS4,16,17.4,52,99,SquareEnix,DragonQuestXI:EchoesofanElusiveAge,PS4,
The Walking Dead : The Final Season sur PS4,16,13.3,no information,,noinformation,noinformation,PS4,
Mega Man 11 sur PS4,16,17.5,24,99,noinformation,noinformation,PS4,
Far Cry 5 sur PS4,16,15.4,36,9,UbisoftMontreal,Infiltration,PS4,
NHL 19 sur PS4,16,13.8,65,90,EASports,Jouableensolo,PS4,
Firewall : Zero Hour sur PS4,16,17.9,39,99,noinformation,noinformation,PS4,
Ni no Kuni 2 : L'avènement d'un nouveau Royaume sur PS4,16,15.2,32,49,Level-5,+12ans,PS4,
Forgotton Anne sur PS4,16,16,no information,,SquareEnixCollective,Puzzle-Game,PS4,
Dark Souls Remastered sur PS4,16,13.5,29,99,BandaiNamco,HeroicFantasy,PS4,
L'Attaque des Titans 2 sur PS4,16,17.5,43,10,KoeiTecmo,+18ans,PS4,
The Banner Saga 3 sur PS4,16,19,no information,,Stoic,TacticalRPG,PS4,
EA Sports UFC 3 sur PS4,16,11.7,49,99,EASports,+18ans,PS4,
Unravel Two sur PS4,16,16,19,99,ColdwoodInteractive,Plate-Forme,PS4,
Mooncrash sur PS4,16,13,no information,,noinformation,noinformation,PS4,
Yoku's Island Express sur PS4,16,16,19,99,VillaGorilla,Plate-Forme,PS4,
The Swords of Ditto sur PS4,16,16,no information,,onebitbeyond,Jouableensolo,PS4,
The Council : Episode 3 - Ripples sur PS4,16,16,no information,,FocusHomeInteractive,Historique,PS4,
Iconoclasts sur PS4,16,15,no information,,JoakimSandberg,23Janvier2018,PS4,
Under Night In-Birth EXE:Late[st] sur PS4,16,16,19,99,FRENCH-BREAD,+12ans,PS4,
The Walking Dead : The Final Season : Épisode 1 : Done Running sur PS4,16,16,no information,,noinformation,noinformation,PS4,
The Walking Dead : Saison 2 : Episode 1 - All That Remains sur PS4,16,18,no information,,TelltaleGames,Post-apocalyptique,PS4,
Shantae : Half-Genie Hero sur PS4,16,17.4,62,90,WayforwardTechnologies,Plate-Forme,PS4,
Yakuza Zero : The Place of Oath sur PS4,16,17.2,22,0,Sega,+18ans,PS4,
The Banner Saga 2 sur PS4,16,16,no information,,Stoic,+16ans,PS4,
EVE Valkyrie sur PS4,16,14.2,29,99,CCP,Optionspayantes,PS4,
Rocket League sur PS4,16,16.9,21,0,Psyonix,Football,PS4,
SOMA sur PS4,16,16.6,no information,,FrictionalGames,Science-Fiction,PS4,
LEGO Marvel Super Heroes sur PS4,16,15.3,14,2,WarnerInteractive,Super-Héros,PS4,
Resident Evil VII sur PS4,16,16.4,18,49,Capcom,+18ans,PS4,
Fallout 4 sur PS4,16,17,14,99,noinformation,noinformation,PS4,
Injustice : Les Dieux sont Parmi Nous – Ultimate Edition sur PS4,16,14.3,14,99,NetherRealmStudios,Super-Héros,PS4,
Hitman GO Definitive Edition sur PS4,16,16.7,no information,,SquareEnixMontreal,+17ans,PS4,
God Eater 2 : Rage Burst sur PS4,16,14.5,23,24,BandaiNamco,Fantastique,PS4,
The Evil Within sur PS4,16,15.5,17,50,TangoGameworksstudio,Survival-Horror,PS4,
Beyond : Two Souls sur PS4,16,16.3,no information,,Sony,Oui, 26 Novembre 2015,PS4
The Vanishing of Ethan Carter sur PS4,16,16.6,no information,,TheAstronauts,Survival-Horror,PS4,
Resident Evil 4 HD sur PS4,16,11.3,17,76,Capcom,Zombies,PS4,
Puyo Puyo Tetris sur PS4,16,16,26,95,Sega,+3ans,PS4,
Battlefield 4 sur PS4,16,15.7,17,90,Dice,Contemporain,PS4,
Project CARS sur PS4,16,14.3,16,99,SlightlyMadStudios,Simulation,PS4,
Worms Battlegrounds sur PS4,16,15.2,17,99,Team17,Jouableensolo,PS4,
Pix the Cat sur PS4,16,14.2,no information,,Pastagames,jusqu'à4joueursenmodeArena,PS4,
The Wolf Among Us : Episode 4 - In Sheep's Clothing sur PS4,16,13.5,no information,,TelltaleGames,Fantastique,PS4,
Disgaea 5 : Alliance of Vengeance sur PS4,16,18.7,54,90,NISAmerica,Tactique,PS4,
Wolfenstein : The New Order sur PS4,16,16.2,14,99,MachineGames,+18ans,PS4,
Alien : Isolation sur PS4,16,17.1,24,14,TheCreativeAssembly,Infiltration,PS4,
Outlast sur PS4,16,17,no information,,RedBarrels,Enquête,PS4,
The Walking Dead : Episode 1 - A New Day sur PS4,16,16,no information,,TelltaleGames,Post-apocalyptique,PS4,
Night in the Woods sur PS4,16,17,no information,,InfiniteFall,Animaux,PS4,
The Witness sur PS4,16,17.3,no information,,Thekla,Siteofficiel,PS4,
Just Dance 2014 sur PS4,16,12.5,23,46,Ubisoft,Blu-Ray,PS4,
Romancing SaGa 2 sur PS4,16,14.3,no information,,Squaresoft,Textesenjaponais,PS4,
DiRT Rally sur PS4,16,15.8,21,51,Codemasters,Blu-Ray,PS4,
inFAMOUS : Second Son sur PS4,16,16.4,15,59,SuckerPunch,Contemporain,PS4,
The Walking Dead : Saison 2 sur PS4,16,16.7,34,25,TelltaleGames,Post-apocalyptique,PS4,
Sleeping Dogs : Definitive Edition sur PS4,16,15.6,16,9,UnitedFrontGames,Contemporain,PS4,
Senran Kagura : Estival Versus sur PS4,16,14.5,no information,,noinformation,noinformation,PS4,
Skyforge sur PS4,16,16.8,no information,,AllodsTeam,Siteofficiel,PS4,
Styx : Master of Shadows sur PS4,16,15.4,no information,,Focus,Infiltration,PS4,
Lara Croft and the Temple of Osiris sur PS4,16,14.6,16,80,SquareEnix,Mythologie,PS4,
Resident Evil 5 sur PS4,16,13.4,18,90,Capcom,Post-apocalyptique,PS4,
Blood Bowl II sur PS4,16,10.7,17,0,Focus,Crossmedia,PS4,
Pro Evolution Soccer 2015 sur PS4,16,15.3,6,56,Konami,+3ans,PS4,
Final Fantasy XIV : A Realm Reborn sur PS4,16,15.7,19,90,SquareEnix,HeroicFantasy,PS4,
LawBreakers sur PS4,16,15.7,no information,,NexonEurope,Multienligne,PS4,
Assassin's Creed IV : Black Flag sur PS4,16,16.5,11,20,Ubisoft,AmériqueduNord,PS4,
Madden NFL 15 sur PS4,16,15.4,11,99,ElectronicArts,+3ans,PS4,
Kerbal Space Program sur PS4,16,10,no information,,Squad,+12ans,PS4,
Badland : Game of the Year Edition sur PS4,16,17.7,no information,,Frogmind,Siteofficiel,PS4,
Dying Light sur PS4,16,16.7,29,99,WarnerBrosGames,Survival-Horror,PS4,
One Piece Unlimited World Red Deluxe Edition sur PS4,16,13,no information,,BandaiNamco,Animation,PS4,
Far Cry 4 sur PS4,16,16.3,13,67,UbisoftMontreal,Contemporain,PS4,
N++ sur PS4,16,19.3,no information,,MetanetSoftwareInc.,Siteofficiel,PS4,
Resogun sur PS4,16,14.2,no information,,Housemarque,Shoot'emUp,PS4,
LastFight sur PS4,16,16,no information,,Piranaking,PlayStationStore,PS4,
Tembo The Badass Elephant sur PS4,16,17.5,no information,,Sega,Plate-Forme,PS4,
Guitar Hero Live sur PS4,16,13.5,45,0,Activision,Musique,PS4,
Madden NFL 16 sur PS4,16,16.7,20,16,EASports,+3ans,PS4,
FIFA 16 sur PS4,16,8.8,3,98,ElectronicArts,Football,PS4,
NHL 16 sur PS4,16,13.6,28,29,noinformation,noinformation,PS4,
Need for Speed sur PS4,16,12.9,17,98,ElectronicArts,Automobile,PS4,
Armello sur PS4,16,17,16,42,LeagueofGeeks,Jeudecartes,PS4,
Pro Evolution Soccer 2016 sur PS4,16,12.4,9,99,Konami,+3ans,PS4,
Tales of Berseria sur PS4,16,17.2,29,97,BandaiNamcoEntertainment,Jouableensolo,PS4,
Mega Man Legacy Collection sur PS4,16,15.5,no information,,Capcom,Jouableensolo,PS4,
Trackmania Turbo sur PS4,16,15.1,15,17,Nadeo,Automobile,PS4,
For Honor sur PS4,16,14.5,12,99,UbisoftMontreal,Historique,PS4,
RIGS : Mechanized Combat League sur PS4,16,16.2,14,99,Sony,Mecha,PS4,
Destiny Extension III : Le roi des corrompus sur PS4,16,16.5,11,70,Bungie,Fantastique,PS4,
Project CARS 2 sur PS4,16,15.1,14,99,BandaiNamco,Simulation,PS4,
Dying Light : The Following sur PS4,16,17.7,26,99,noinformation,noinformation,PS4,
Worms : Weapons of Mass Destruction sur PS4,16,17.8,15,19,Team17,Fantastique,PS4,
Hob sur PS4,16,15,no information,,noinformation,noinformation,PS4,
Battle Chasers : Nightwar sur PS4,16,17.5,no information,,AirshipSyndicate,Fantastique,PS4,
Toukiden 2 sur PS4,16,12,15,90,KoeiTecmo,Mythologie,PS4,
The King of Fighters XIV sur PS4,16,14.9,40,0,SNKPlaymore,Multiencompétitif,PS4,
FIFA 17 sur PS4,16,9.9,9,50,EASports,+3ans,PS4,
Far Cry Primal sur PS4,16,16.3,17,47,Ubisoft,+18ans,PS4,
Future Unfolding sur PS4,16,16,no information,,SpacesofPlay,Jouableensolo,PS4,
Batman : The Telltale Series sur PS4,16,14.5,13,68,noinformation,noinformation,PS4,
Ys VIII : Lacrimosa of Dana sur PS4,16,17.7,32,95,Falcom,Blu-Ray,PS4,
Fallout 4 : Far Harbor sur PS4,16,16.6,no information,,BethesdaSoftworks,+18ans,PS4,
Werewolves Within sur PS4,16,16.9,no information,,Ubisoft,Jeudesociété,PS4,
Pro Evolution Soccer 2017 sur PS4,16,14.4,8,79,Konami,+3ans,PS4,
Hand of Fate 2 sur PS4,16,16,no information,,DefiantDevelopment,Jeudecartes,PS4,
Call of Duty 4 : Modern Warfare Remastered sur PS4,16,12,19,49,Activision,Contemporain,PS4,
Star Wars : Battlefront II sur PS4,16,13.5,15,19,ElectronicArts,Science-Fiction,PS4,
Dragon Ball Xenoverse 2 sur PS4,16,14.4,23,99,BandaiNamco,Animation,PS4,
Atelier Firis : The Alchemist and the Mysterious Journey sur PS4,16,16.3,31,25,noinformation,noinformation,PS4,
Absolver sur PS4,16,12.5,no information,,DevolverDigital,ActionRPG,PS4,
F1 2016 sur PS4,16,15.7,15,38,Codemasters,Formule1,PS4,
Skylanders Imaginators sur PS4,16,9.3,24,99,14Octobre2016,Payantàl'acquisition,PS4,
Tom Clancy's The Division : Survie sur PS4,16,13.3,no information,,MassiveEntertainment,Post-apocalyptique,PS4,
Prey sur PS4,16,15,10,45,ArkaneStudios,Futuriste,PS4,
Just Dance 2017 sur PS4,16,no information,17,9,Ubisoft,Musique,PS4,
Grow Up sur PS4,16,16.6,no information,,Ubisoft,Plate-Forme,PS4,
Batman Arkham VR sur PS4,16,15.6,no information,,WarnerInteractive,Contemporain,PS4,
New Everybody’s Golf sur PS4,16,17.7,no information,,ClapHanz,Golf,PS4,
Sundered sur PS4,16,15,no information,,ThunderLotusGames,Siteofficiel,PS4,
Divinity : Original Sin II - Definitive Edition sur ONE,19,19,44,99,noinformation,noinformation,ONE,
NieR Automata sur ONE,19,16.5,no information,,SquareEnix,ActionRPG,ONE,
The Witcher 3 : Wild Hunt sur ONE,19,18.6,24,47,CDProjektRED,Fantastique,ONE,
Inside sur ONE,19,17,no information,,Playdead,+18ans,ONE,
The Walking Dead : Saison 1 sur ONE,19,16.9,29,79,TelltaleGames,Post-apocalyptique,ONE,
Ori and the Blind Forest sur ONE,19,18.8,no information,,MoonStudio,Plate-Forme,ONE,
The Walking Dead : Episode 5 - No Time Left sur ONE,19,14.5,no information,,TelltaleGames,Post-apocalyptique,ONE,
Divinity : Original Sin - Enhanced Edition sur ONE,19,17.2,22,90,FocusHomeInteractive,HeroicFantasy,ONE,
Dark Souls III sur ONE,19,16.7,15,50,noinformation,noinformation,ONE,
Unravel sur ONE,19,16.4,no information,,ColdwoodInteractive,Réflexion,ONE,
Dishonored : Definitive Edition sur ONE,19,14,13,80,noinformation,noinformation,ONE,
The Witcher 3 : Wild Hunt - Blood and Wine sur ONE,19,18.9,no information,,noinformation,noinformation,ONE,
Forza Horizon 3 sur ONE,19,17.5,34,99,PlaygroundGames,Multienligne,ONE,
Okami HD sur ONE,19,18,14,99,noinformation,noinformation,ONE,
Assassin's Creed Odyssey sur ONE,18,17.1,59,99,Ubisoft,ActionRPG,ONE,
Forza Horizon 4 sur ONE,18,15.7,48,99,MicrosoftStudios,02Octobre2018,ONE,
Dragon Ball FighterZ sur ONE,18,13.3,44,15,ArcSystemWorks,+12ans,ONE,
Monster Hunter World sur ONE,18,15.8,29,99,Capcom,Jouableensolo,ONE,
Dead Cells sur ONE,18,18,no information,,MotionTwin,Plate-Forme,ONE,
Final Fantasy XV : Édition Royale sur ONE,18,13.3,no information,,SquareEnix,+16ans,ONE,
Celeste sur ONE,18,18,no information,,MattMakesGames,Jouableensolo,ONE,
Life is Strange sur ONE,18,19,25,91,DONTNODEntertainment,Fantastique,ONE,
Metal Gear Solid V : The Phantom Pain sur ONE,18,17.8,18,99,KojimaProductions,Infiltration,ONE,
Child of Light sur ONE,18,17.8,no information,,UbisoftMontreal,Fantastique,ONE,
Watch Dogs sur ONE,18,15.5,9,4,Ubisoft,Contemporain,ONE,
Rise of the Tomb Raider sur ONE,18,17.3,19,59,CrystalDynamics,Contemporain,ONE,
Call of Duty : Advanced Warfare sur ONE,18,13.6,8,69,SledgehammerGames,Contemporain,ONE,
Mount & Blade : Warband sur ONE,18,12.8,31,79,TaleWorldsEntertainment,ActionRPG,ONE,
Tomb Raider : Definitive Edition sur ONE,18,17,19,80,CrystalDynamics,+18ans,ONE,
The Walking Dead : Saison 2 : Episode 3 - In Harm’s Way sur ONE,18,18,no information,,TelltaleGames,Post-apocalyptique,ONE,
What Remains of Edith Finch sur ONE,18,19,no information,,SCESantaMonicaStudio,Autres,ONE,
Grand Theft Auto V sur ONE,18,17.7,24,89,RockstarGames,Contemporain,ONE,
Final Fantasy XV sur ONE,18,15.5,11,95,SquareEnix,HeroicFantasy,ONE,
The Walking Dead : Episode 3 - Long Road Ahead sur ONE,18,18,no information,,TelltaleGames,Post-apocalyptique,ONE,
Life is Strange - Episode 1 - Chrysalis sur ONE,18,17,no information,,DONTNODEntertainment,Fantastique,ONE,
Call of Duty : Black Ops III sur ONE,18,12.2,23,99,Activision,Futuriste,ONE,
Life is Strange - Episode 2 - Out of Time sur ONE,18,16.9,no information,,DONTNODEntertainment,Point'nClick,ONE,
NBA 2K16 sur ONE,18,16.2,6,89,2KSports,Basket,ONE,
Life is Strange - Episode 3 - Chaos Theory sur ONE,18,18,no information,,SquareEnix,Fantastique,ONE,
XCOM 2 sur ONE,18,18.3,12,59,Firaxis,Science-Fiction,ONE,
Dishonored 2 sur ONE,18,17.2,9,79,BethesdaSoftworks,Infiltration,ONE,
The Witcher 3 : Wild Hunt - Hearts of Stone sur ONE,18,17.9,no information,,CDProjekt,Jouableensolo,ONE,
Shadow Tactics : Blades of the Shogun sur ONE,18,18,20,86,DaedalicEntertainment,Tactique,ONE,
Assassin's Creed Origins sur ONE,18,17.9,39,99,UbisoftMontreal,Infiltration,ONE,
Pro Evolution Soccer 2019 sur ONE,17,15.4,38,99,KonamiDigitalEntertainment,Jouableensolo,ONE,
No Man's Sky sur ONE,17,15.4,49,99,HelloGames,Payantàl'acquisition,ONE,
NBA 2K19 sur ONE,17,11.4,44,90,VisualConcepts,Basket,ONE,
F1 2018 sur ONE,17,15.4,66,95,Codemasters,Formule1,ONE,
Overcooked 2 sur ONE,17,11,17,37,Team17,Adresse,ONE,
Crash Bandicoot N. Sane Trilogy sur ONE,17,17,30,0,Activision,Plate-Forme,ONE,
Hellblade : Senua's Sacrifice sur ONE,17,18,no information,,NinjaTheory,+18ans,ONE,
The Elder Scrolls Online : Summerset sur ONE,17,17,24,99,BethesdaSoftworks,MMORPG,ONE,
Sonic Mania Plus sur ONE,17,17,29,99,Sega,19Juillet2018,ONE,
Full Metal Furies sur ONE,17,20,no information,,CellarDoorGames,+7ans,ONE,
Mortal Kombat X sur ONE,17,15.6,14,99,WarnerBrosGames,Fantastique,ONE,
Cuphead sur ONE,17,15,19,99,StudioMDHR,Jouableensolo,ONE,
Tekken 7 sur ONE,17,12.7,24,81,BandaiNamco,Jouableensolo,ONE,
Pillars of Eternity sur ONE,17,17,37,90,ParadoxInteractive,HeroicFantasy,ONE,
Warframe sur ONE,17,15.3,no information,,DigitalExtremes,+16ans,ONE,
NBA 2K15 sur ONE,17,16.8,4,79,2KSports,Basket,ONE,
